W	1420.5	421.9
W	1341.1	456.3
W	1271.5	533.0
W	1203.6	605.3
W	1387.8	539.2
W	1471.6	532.1
W	1520.1	441.3
W	1558.0	478.4
W	1557.1	533.9
W	1627.6	488.9
W	1669.1	537.4
W	1729.0	658.2
W	1695.5	674.1
W	1493.6	703.2
W	1483.0	625.6
W	1357.9	696.1
W	1299.7	665.3
W	1211.5	726.1
W	1238.0	785.2
W	1193.0	782.5
W	1218.6	848.6
W	1302.3	890.1
W	1341.1	783.4
W	1425.7	818.7
W	1409.9	882.1
W	1432.8	939.4
W	1495.4	942.1
W	1544.8	984.4
W	1655.0	915.6
W	1645.3	853.0
W	1633.8	782.5
W	1739.6	838.0
L	1289.1	479.2
L	1228.3	552.4
L	1512.1	512.7
L	1601.2	518.0
L	1557.1	648.5
L	1623.2	638.8
L	1684.1	615.9
L	1577.4	718.2
L	1654.1	691.7
L	1698.2	803.7
L	1734.3	765.8
L	1394.0	756.9
R	1193.0	674.1
R	1280.3	738.4
R	1292.6	805.4
R	1281.2	928.9
R	1573.0	582.4
R	1625.9	570.0
R	1762.5	720.8
P	1276.8	600.9
P	1431.0	576.2
P	1414.3	657.3
P	1363.2	927.1
P	1407.2	984.4
P	1586.2	931.5
P	1609.1	972.9
P	1699.0	854.8
P	1699.9	898.0
D	1433.7	501.3
D	1485.7	415.8
D	1361.4	614.1
O	1235.3	623.8
O	1506.0	567.4
O	1451.3	444.9
O	1571.2	442.2
O	1716.7	588.6
O	1564.2	774.6
O	1551.8	836.3
O	1548.3	898.9
O	1680.5	736.7
O	1260.9	845.1
Y	1244.1	682.0
Y	1488.3	470.4
Y	1720.2	550.6
Y	1763.4	656.4
Y	1476.9	872.4
G	1395.8	456.3
G	1363.2	496.9
G	1323.5	549.8
G	1467.2	770.2
G	1348.2	857.4
G	1344.6	980.9
