W	3203.0	1239.6
W	3172.0	1277.5
W	3008.9	1306.6
W	3054.5	1337.7
W	3000.2	1382.3
W	3178.8	1409.5
W	3116.6	1455.1
W	2875.9	1548.3
W	2881.7	1650.3
W	2874.9	1703.6
W	2976.9	1788.1
W	2994.3	1715.3
W	3061.3	1716.3
W	3103.1	1676.5
W	3068.1	1612.4
W	3181.7	1857.0
W	3253.5	1867.7
W	3305.0	1826.9
W	3343.8	1842.5
R	3242.8	1716.3
W	3180.7	1673.6
W	3166.2	1600.7
W	3239.9	1631.8
W	3297.2	1664.8
W	3358.4	1692.0
W	3419.5	1683.3
W	3473.9	1702.7
W	3401.1	1617.2
W	3351.6	1575.5
D	3294.3	1596.9
W	3240.9	1559.0
W	3172.9	1498.8
W	3329.2	1463.9
W	3305.9	1391.1
W	3242.8	1367.8
W	3339.0	1250.3
W	3382.6	1295.0
W	3435.1	1342.5
W	3502.0	1400.8
W	3458.4	1427.0
W	3523.4	1482.3
W	3467.1	1509.5
R	3258.4	1228.9
R	2995.3	1274.6
R	3123.4	1333.8
R	3237.0	1304.7
R	3352.5	1753.2
R	3457.4	1744.4
P	2974.9	1531.8
P	2931.2	1399.8
P	3096.3	1552.2
P	3043.8	1767.7
P	3203.0	1759.0
P	3293.3	1736.7
O	3103.1	1395.9
O	3323.4	1330.9
O	3305.0	1525.0
O	3515.6	1557.1
O	3374.9	1801.7
O	3268.1	1791.0
O	3029.3	1832.8
Y	2894.3	1461.0
Y	2961.3	1460.0
Y	3111.8	1256.1
Y	3287.5	1268.7
Y	2834.2	1621.1
Y	2980.7	1652.2
Y	2935.1	1693.9
Y	3405.0	1533.8
Y	3192.4	1811.4
Y	3544.8	1531.8
G	3398.2	1454.2
G	3458.4	1581.3
G	3494.3	1635.7
G	3423.4	1799.8
G	3135.1	1759.0
G	3004.0	1595.9
G	3040.9	1516.3
G	2930.3	1595.9
L	3035.1	1436.7
L	3258.4	1427.0
L	3247.7	1481.3
L	3369.0	1390.1
L	3121.5	1837.6
D	2951.6	1330.9
D	3063.3	1249.3
D	3177.8	1204.7
D	3417.6	1750.2
G	3502.0	1359.0
