W	1888.5	1163.2
W	1895.1	1191.1
W	1943.7	1193.8
W	1977.0	1187.1
W	1827.2	1227.1
W	1873.2	1227.1
W	1927.1	1227.8
W	2025.6	1235.7
W	1704.1	1258.4
W	1669.5	1287.7
W	1676.8	1318.3
W	1836.6	1267.0
W	1886.5	1273.7
W	1738.7	1360.2
W	1784.0	1352.2
W	1821.9	1344.9
W	1863.9	1313.0
W	1919.1	1306.3
W	1925.8	1350.2
W	2056.2	1283.7
W	2050.2	1338.9
W	2074.9	1325.6
W	2071.5	1370.2
W	2020.9	1418.8
W	1938.4	1437.4
W	1966.4	1476.7
W	1911.8	1498.0
W	1844.6	1460.7
W	1750.0	1442.1
W	1716.1	1469.4
W	1770.7	1396.8
W	1636.2	1410.8
W	1676.1	1507.3
W	1821.9	1539.3
W	1811.3	1576.5
W	1909.1	1564.6
R	1797.3	1171.2
R	1823.3	1190.5
R	1780.7	1223.8
R	1646.2	1354.9
R	1657.5	1454.1
R	1738.1	1510.0
R	1871.2	1417.5
R	1867.8	1543.9
R	1851.2	1604.5
R	1947.1	1578.5
R	2017.6	1565.2
R	1963.0	1373.5
R	1981.0	1293.0
P	1712.1	1211.8
P	1718.7	1294.3
P	1798.0	1446.1
P	1775.3	1485.4
P	1688.8	1426.1
P	2000.3	1454.7
P	2058.2	1474.7
P	2070.2	1434.1
P	2020.9	1315.0
P	1957.7	1555.2
O	1758.0	1204.5
O	1748.0	1261.0
O	1702.1	1342.2
O	1981.0	1221.1
O	2044.9	1522.6
O	1990.3	1543.3
O	1817.3	1501.3
Y	1929.1	1159.9
Y	1684.1	1241.7
Y	1788.6	1263.7
Y	1798.6	1303.6
Y	2032.3	1271.7
Y	2090.2	1352.2
Y	1950.4	1526.6
Y	1865.9	1498.0
Y	1858.5	1577.2
Y	1778.0	1545.9
Y	1717.4	1529.9
Y	1696.8	1493.3
G	2010.3	1198.5
G	1931.1	1268.4
G	1964.4	1329.6
G	1976.3	1426.1
G	2041.6	1444.1
G	1895.1	1464.1
G	1986.3	1510.6
G	1899.8	1595.8
G	1819.9	1394.2
G	1759.4	1319.6
G	1770.0	1576.5
L	1845.9	1163.9
L	1989.7	1258.4
L	2036.3	1377.5
L	1997.0	1386.8
L	2018.3	1520.0
L	1979.0	1585.9
D	1645.5	1316.3
D	1674.2	1382.8
D	1726.1	1405.5
D	1878.5	1361.5
D	2005.6	1344.2
D	2064.9	1406.1
D	1925.8	1395.5
D	1749.4	1180.5
D	2048.9	1233.1
